,,Edad,Frecuencia,Presentaci¢n,conocebeneficios,conoceprocedencia,
,,21,No consumo pescado,"En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,20,Casi nunca,"En conserva (latas, salmuera, tipo surimi)",No pero quisiera saber,No,
,,20,1 vez al mes,Pescado congelado,S¡,No,
,,39,1 vez a la semana,Pescado fresco,S¡,S¡,
,,19,1 vez a la semana,Pescado fresco,S¡,S¡,
,,19,1 vez al mes,Pescado fresco,S¡,S¡,
,,20,1 vez cada 15 d¡as,"Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,21,1 vez cada 15 d¡as,Pescado fresco,S¡,No,
,,43,1 vez a la semana,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,20,1 vez cada 15 d¡as,Pescado fresco,S¡,S¡,
,,23,1 vez a la semana,Pescado fresco,No,No,
,,20,1 vez a la semana,Pescado fresco,No,No,
,,21,1 vez al mes,Pescado fresco,No,No,
,,20,1 vez al mes,"Pescado fresco, Pescado congelado, En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,20,1 vez al mes,"En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,20,Casi nunca,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,25,Casi nunca,Pescado fresco,No,No,
,,18,1 vez al mes,Pescado fresco,No pero quisiera saber,S¡,
,,19,1 vez a la semana,Pescado congelado,S¡,No,
,,22,1 vez a la semana,Pescado fresco,S¡,S¡,
,,19,1 vez al mes,Pescado fresco,No pero quisiera saber,S¡,
,,20,1 vez a la semana,"Pescado fresco, Pescado congelado",S¡,S¡,
,,20,1 vez al mes,Pescado fresco,S¡,S¡,
,,20,1 vez a la semana,"Pescado fresco, Pescado congelado",S¡,S¡,
,,20,1 vez cada 15 d¡as,Pescado fresco,S¡,S¡,
,,21,Casi nunca,Pescado fresco,S¡,S¡,
,,21,1 vez al mes,Pescado fresco,S¡,S¡,
,,21,1 vez cada 15 d¡as,Pescado fresco,No pero quisiera saber,No,
,,22,1 vez al mes,"Pescado fresco, Pescado congelado",S¡,No,
,,20,1 vez a la semana,Pescado fresco,S¡,S¡,
,,20,1 vez al mes,"Pescado fresco, En conserva (latas, salmuera, tipo surimi)",S¡,No,
,,20,Casi nunca,Pescado fresco,No pero quisiera saber,S¡,
,,19,1 vez cada 15 d¡as,"En conserva (latas, salmuera, tipo surimi)",S¡,S¡,
,,24,1 vez al mes,Pescado fresco,S¡,No,
,,53,1 vez al mes,Pescado congelado,S¡,No,
